Fecha,TDV Control-2L(µm) P14,TDV Control-2L (µm) P15,TDV 45SDI-2L (µm) P6,TDV 45SDI-2L (µm) P11
2016-08-02 20:59:59.933,55.69999999999982,644.8000000000002,-323.6999999999998,-154.0999999999999
2016-08-02 21:14:59.933,81.59999999999991,669.1999999999998,-314.0999999999999,-138.0999999999999
2016-08-02 21:29:59.933,100.69999999999982,693.6000000000004,-300.0999999999999,-122.09999999999991
2016-08-02 21:44:59.933,121.09999999999991,713.5,-289.9000000000001,-111.5
2016-08-02 21:59:59.933,141.5,736.6999999999998,-282.9000000000001,-95.40000000000009
2016-08-02 22:14:59.933,160.0999999999999,754.6000000000004,-273.4000000000001,-83.40000000000009
2016-08-02 22:29:59.933,173.5999999999999,771.3000000000002,-267.0999999999999,-74.09999999999991
2016-08-02 22:44:59.933,193.39999999999964,788.6999999999998,-260.6999999999998,-64.69999999999982
2016-08-02 22:59:59.933,204.5999999999999,805.3000000000002,-255,-56.09999999999991
2016-08-02 23:14:59.933,218.79999999999973,818.1999999999998,-248.5999999999999,-47.40000000000009
2016-08-02 23:29:59.933,226.79999999999973,829.1000000000004,-244.19999999999982,-42
2016-08-02 23:44:59.933,238,840.6999999999998,-237.79999999999973,-36
2016-08-02 23:59:59.933,247.19999999999982,852.1999999999998,-233.29999999999973,-31.40000000000009
2016-08-03 00:14:59.933,255.19999999999982,859.1999999999998,-231.4000000000001,-24
2016-08-03 00:29:59.933,264.5,868.8000000000002,-227,-16.59999999999991
2016-08-03 00:44:59.933,271.2999999999997,876.5,-220.69999999999982,-11.400000000000091
2016-08-03 00:59:59.933,279.2999999999997,885.6000000000004,-218.79999999999973,-6.599999999999909
2016-08-03 01:14:59.933,286.6999999999998,894.6000000000004,-215.5,1.400000000000091
2016-08-03 01:29:59.933,298.5999999999999,901.6000000000004,-208.5,4.599999999999909
2016-08-03 01:44:59.933,302.7999999999997,908.6999999999998,-206,14.599999999999909
2016-08-03 01:59:59.933,310.7999999999997,917,-202.79999999999973,20
2016-08-03 02:14:59.933,316.39999999999964,924.6999999999998,-196.5,28.59999999999991
