Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,media,media alta variabilidad
LTP Area_0.9_2,mean(LTP),0.9,2,0.102445679,0.05908034,-0.04204743,0.097758208,0.090454383,0.174391611,0.042289776,0.71190202,0.690387853,0.861755139,0.298441322,0.49614528
LTP Area_0.8_2,mean(LTP),0.8,2,0.104804688,0.062145972,-0.042884662,0.095693149,0.085808962,0.172208135,0.038110215,0.71137955,0.691919737,0.860897753,0.297253201,0.494903078
LTP Area_n0_1_0.99_100,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.99,100,,,-1.38E-16,-1.53E-16,0.024687539,0.383073881,0.991698907,-0.125252186,0.444828749,0.77967357,0.277634495,0.494804584
LTP Area_0.99_1,mean(LTP),0.99,1,0.114349925,0.075025166,-0.035295594,0.105682531,0.067469458,0.162859575,0.017461004,0.709882447,0.691538953,0.855098621,0.294413573,0.48736812
LTP Area_0.95_1,mean(LTP),0.95,1,0.114617537,0.075462387,-0.035891582,0.104362959,0.066235962,0.16254259,0.016976574,0.709515752,0.691473282,0.854645988,0.293924879,0.487030837
LTP Area_0.9_1,mean(LTP),0.9,1,0.114963403,0.076032054,-0.036670924,0.102630702,0.064616878,0.162127003,0.016342096,0.709019716,0.691361161,0.854033961,0.293276961,0.486576787
LTP Max_ma_0.95_100,"max(LTP)-moving_avg(LTP,10D)",0.95,100,,,-3.06E-18,4.38E-16,,0.775090606,0.966192375,-0.056692579,0.502996612,0.240460794,0.26978309,0.485609562
LTP Area_0.8_1,mean(LTP),0.8,1,0.115695142,0.077255145,-0.03835565,0.098859849,0.061094094,0.161224304,0.014966456,0.707883056,0.691016555,0.852632239,0.291841783,0.485544522
LTP Area_n0_1_0.95_100,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.95,100,,,-9.19E-18,8.53E-18,0.060856108,0.514936608,0.998209467,-0.173339275,0.312063041,0.744922021,0.273071997,0.479358372
LTP Min_0.95_100,min(LTP),0.95,100,,,-9.19E-17,-7.50E-18,,0.7137455,0.986974561,-0.127196663,0.16237964,0.646696844,0.26473332,0.476519976
LTP Min_0.9_10,min(LTP),0.9,10,0.172854836,0.108664409,0.046335511,0.073333786,-0.004229486,0.207099487,0.068894475,0.756874338,0.548026512,0.78045928,0.287273146,0.472270818
LTP Min_0.95_10,min(LTP),0.95,10,0.160736237,0.095701267,0.043947224,0.07094564,-0.015716562,0.221486991,0.103614133,0.755473127,0.521404405,0.752400084,0.283250701,0.470875748
LTP Min_0.8_10,min(LTP),0.8,10,0.194060029,0.130798684,0.051814588,0.079557457,0.017521974,0.177798954,-0.000473177,0.754697754,0.589377142,0.823294357,0.291598637,0.468939006
LTP Min_0.99_10,min(LTP),0.99,10,0.150677059,0.084858913,0.042240515,0.069385079,-0.024811258,0.232392923,0.130174157,0.753296109,0.498238353,0.727616111,0.279265656,0.468343531
LTP diff_R_Neta_Avg_0.95_100,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.95,100,,,,,,0.577554502,0.978660374,0.203352746,0.570174896,,0.25886028,0.465948503
LTP Min_0.99_5,min(LTP),0.99,5,0.203080755,0.149706994,0.051112271,0.077166276,0.030170023,0.16874077,-0.022524559,0.755878343,0.585874674,0.814922581,0.290116375,0.460578362
LTP Min_0.95_5,min(LTP),0.95,5,0.204479292,0.150449604,0.052181504,0.078525987,0.033024944,0.164704132,-0.032095734,0.756098727,0.590864144,0.819817326,0.290396737,0.459877719
LTP Min_0.9_5,min(LTP),0.9,5,0.206250842,0.151363315,0.053660279,0.080468287,0.036758551,0.159418019,-0.044483559,0.755863987,0.596873198,0.825794378,0.290635162,0.458693205
LTP Min_0.8_5,min(LTP),0.8,5,0.209792579,0.153089363,0.057126208,0.085258159,0.044646807,0.148183424,-0.070229719,0.753421563,0.607658225,0.836865589,0.290668847,0.455179817
LTP Max_0.8_10,max(LTP),0.8,10,-0.153071874,-0.21944998,-0.133192754,0.042998905,0.139297127,0.23316964,0.209862999,0.649549234,0.543747419,0.637881318,0.233762656,0.454842122
LTP Max_0.9_10,max(LTP),0.9,10,-0.182395781,-0.248164447,-0.136661486,0.030293503,0.115089156,0.241026994,0.223431216,0.649200309,0.532353095,0.620837107,0.225267272,0.453369744
LTP Min_0.99_4,min(LTP),0.99,4,0.208079247,0.15372153,0.052584869,0.077248915,0.035898906,0.152627581,-0.060862378,0.754355134,0.594927928,0.825090332,0.287288091,0.453227719
LTP Min_0.95_4,min(LTP),0.95,4,0.209018367,0.154053849,0.053634422,0.078782978,0.038318779,0.149825712,-0.067412295,0.754062782,0.598601762,0.828655348,0.287613704,0.452746662
LTP Min_0.9_4,min(LTP),0.9,4,0.210212767,0.154465476,0.055067751,0.080908349,0.041454472,0.146145316,-0.075898309,0.753344931,0.603062276,0.833018812,0.287952119,0.451934605
LTP Max_0.99_5,max(LTP),0.99,5,-0.142174974,-0.197744023,-0.116966935,0.039268439,0.167689104,0.229912425,0.211969457,0.654242904,0.529053366,0.630507289,0.238659114,0.451137088
LTP Max_0.95_5,max(LTP),0.95,5,-0.138728291,-0.197172575,-0.115788483,0.042180771,0.169752612,0.228448422,0.209495971,0.65514986,0.530224919,0.629446771,0.23908203,0.450553189
LTP Min_0.8_4,min(LTP),0.8,4,0.212632151,0.155253423,0.058373609,0.085930143,0.048035888,0.138230536,-0.093697246,0.750540195,0.611263377,0.841194296,0.288347136,0.449506232
LTP Max_0.9_5,max(LTP),0.9,5,-0.133624669,-0.195293689,-0.114244361,0.045857788,0.172170827,0.22652253,0.206179879,0.656145619,0.531052595,0.627107179,0.239499819,0.44940156
LTP Max_0.95_10,max(LTP),0.95,10,-0.195041745,-0.261790659,-0.137752369,0.023904148,0.099914805,0.244604969,0.229595649,0.64883376,0.516368962,0.600310843,0.218221123,0.447942837
LTP Min_0.99_3,min(LTP),0.99,3,0.211821343,0.155057622,0.05630112,0.082798154,0.042493098,0.137587916,-0.09936307,0.747126761,0.606691955,0.841974229,0.285629754,0.446803559
LTP Min_0.95_3,min(LTP),0.95,3,0.212491099,0.155267046,0.057175013,0.084067628,0.043865454,0.135673518,-0.103384189,0.746701646,0.608852767,0.843814383,0.285781474,0.446331625
