id,date,pk,bk,ctend,bk1,T_Amb_Avg,H_Relat_Avg,R_Neta_Avg,VPD_Avg,Y
TDV 45RDI-PB1,2015-06-29,-2.0,0.2738014757633209,-245.89999999999986,0.0,26.55045486111111,55.24930555555556,159.85297916666667,1.8426274305555554,2.0
TDV 45RDI-PB2,2015-06-29,-2.0,0.3381020724773407,-135.5,0.0,26.55045486111111,55.24930555555556,159.85297916666667,1.8426274305555554,1.0
TDV 45RDI-CC1,2015-06-29,-2.0,0.33613321185112,-256.4,0.0,26.55045486111111,55.24930555555556,159.85297916666667,1.8426274305555554,1.0
TDV 45RDI-CC2,2015-06-29,-2.0,0.338116854429245,-133.8,0.0,26.55045486111111,55.24930555555556,159.85297916666667,1.8426274305555554,1.0
TDV Control1,2015-06-30,2.0,1.5118251889944077,288.9,1.0,23.59903472222222,68.69375,153.4879270833125,1.0532003472222222,0.0
TDV Control2,2015-06-30,2.0,1.5118404477834702,187.5,1.0,23.59903472222222,68.69375,153.4879270833125,1.0532003472222222,0.0
TDV 45RDI-PB1,2015-06-30,-3.0,0.13690073788166046,-344.20000000000005,0.0,23.59903472222222,68.69375,153.4879270833125,1.0532003472222222,0.0
TDV 45RDI-PB2,2015-06-30,-3.0,0.16905103623867035,-204.2,0.0,23.59903472222222,68.69375,153.4879270833125,1.0532003472222222,2.0
TDV 45RDI-CC1,2015-06-30,-3.0,0.16806660592556,-350.9999999999999,0.0,23.59903472222222,68.69375,153.4879270833125,1.0532003472222222,2.0
TDV 45RDI-CC2,2015-06-30,-3.0,0.1690584272146225,-172.2,0.0,23.59903472222222,68.69375,153.4879270833125,1.0532003472222222,0.0
TDV Control1,2015-07-01,3.0,1.7559125944972038,465.2,1.0,23.116336805555555,66.61549305555556,162.61539930555347,1.1058708333333334,0.0
TDV Control2,2015-07-01,3.0,1.755920223891735,322.9,1.0,23.116336805555555,66.61549305555556,162.61539930555347,1.1058708333333334,0.0
TDV 45RDI-PB1,2015-07-01,1.0,1.0684503689408302,505.90000000000003,1.0,23.116336805555555,66.61549305555556,162.61539930555347,1.1058708333333334,1.0
TDV 45RDI-PB2,2015-07-01,1.0,1.0845255181193352,480.1,1.0,23.116336805555555,66.61549305555556,162.61539930555347,1.1058708333333334,0.0
TDV 45RDI-CC1,2015-07-01,1.0,1.08403330296278,542.4000000000001,1.0,23.116336805555555,66.61549305555556,162.61539930555347,1.1058708333333334,0.0
TDV 45RDI-CC2,2015-07-01,1.0,1.0845292136073112,452.0,1.0,23.116336805555555,66.61549305555556,162.61539930555347,1.1058708333333334,1.0
TDV Control1,2015-07-03,-1.0,0.938978148624301,386.09999999999997,0.0,26.57228472222222,44.90695833333333,162.07794097224098,2.209351736111111,1.0
TDV Control2,2015-07-03,-1.0,0.9389800559729338,219.3,0.0,26.57228472222222,44.90695833333333,162.07794097224098,2.209351736111111,1.0
